cell_type_main,age_class,count
APC-like,C1,36
APC-like,C2,420
APC-like,C3,290
APC-like,C4,103
B cells,C1,1622
B cells,C2,3729
B cells,C3,1537
B cells,C4,348
Endothelial cells,C1,52
Endothelial cells,C2,1619
Endothelial cells,C3,2117
Endothelial cells,C4,1598
Epithelial cells,C1,2958
Epithelial cells,C2,15682
Epithelial cells,C3,7502
Epithelial cells,C4,3927
Fibroblasts,C1,2122
Fibroblasts,C2,10941
Fibroblasts,C3,5611
Fibroblasts,C4,4235
Mast cells,C1,86
Mast cells,C2,973
Mast cells,C3,351
Mast cells,C4,54
Myeloid,C1,121
Myeloid,C2,4675
Myeloid,C3,8282
Myeloid,C4,16554
Neuronal cells,C1,69
Neuronal cells,C2,676
Neuronal cells,C3,722
Neuronal cells,C4,550
T cells,C1,3626
T cells,C2,10872
T cells,C3,2091
T cells,C4,162
