GTEx,Tissue_1,SenePy,Tissue_2
Endothelial cell (vascular);Endothelial cell (lymphatic),Lung,endothelial cell,lung
Epithelial cell (basal),Lung,basal cell,lung
Epithelial cell (ciliated),Lung,ciliated epithelial cell,lung
Epithelial cell (club),Lung,club cell,lung
Fibroblast,Lung,fibroblast,lung
Immune (DC/macrophage);Immune (DC/macrophage),Lung,macrophage,lung
Immune (T cell),Lung,t cell,lung
Epithelial cell (alveolar type II),Lung,type ii pneumocyte,lung
Myocyte (cardiac),Heart,cardiomyocyte,heart
Adipocyte,Heart,adipocyte,heart
Endothelial cell (vascular);Endothelial cell (lymphatic),Heart,endothelial cell,heart
Fibroblast,Heart,fibroblast,heart
Immune (T cell);Immune (B cell) ;Immune (NK cell),Heart,lymphoid cell,heart
Pericyte/SMC,Heart,pericyte;smooth muscle cell,heart
Fibroblast,Skin,fibroblast,skin
Epithelial cell (basal keratinocyte),Skin,basal cell,skin
Endothelial cell (vascular);Endothelial cell (lymphatic),Skin,endothelial cell,skin
Immune (DC/macrophage);Immune (T cell);Immune (Langerhans);Immune (mast cell),Skin,immune cell,skin
