"","title","study_accession","condition","hUSI"
"1","Vector_Replicate_1","PRJNA395363","other",0.0124820948468824
"2","Vector_._4OHT_Replicate_1","PRJNA395363","senescent",0.408801075268492
"3","Vector_Replicate_2","PRJNA395363","other",0
"4","Vector_._4OHT_Replicate_2","PRJNA395363","senescent",0.360754648978419
"5","Vector_Replicate_3","PRJNA395363","other",0.106229549539954
"6","Vector_._4OHT_Replicate_3","PRJNA395363","senescent",0.384526417177118
"7","si_Scramble_Replicate_1_7","PRJNA395378","other",0.143944489870478
"8","si_Scramble_._4OHT_Replicate_1_8","PRJNA395378","senescent",0.658998356000912
"9","si_Scramble_Replicate_2_9","PRJNA395378","other",0.124435381012355
"10","si_Scramble_._4OHT_Replicate_2_10","PRJNA395378","senescent",0.609037411837509
"11","si_Scramble_Replicate_3_11","PRJNA395378","other",0.104827609013257
"12","si_Scramble_._4OHT_Replicate_3_12","PRJNA395378","senescent",0.554104982929728
"13","EV_._4OHT_Rep1","PRJNA260300","senescent",0.808530420429735
"14","EV_._4OHT_Rep1.1","PRJNA260300","other",0.470351638459101
"15","EV_._4OHT_Rep2","PRJNA260300","senescent",0.779261603747673
"16","EV_._4OHT_Rep2.1","PRJNA260300","other",0.429105031479665
"17","EV_._4OHT_Rep3","PRJNA260300","senescent",0.783333431250471
"18","EV_._4OHT_Rep3.1","PRJNA260300","other",0.45322527803564
"19","Minus16h_Rep1_19","PRJNA503415","other",0.643717921601068
"20","Minus16h_Rep2_20","PRJNA503415","other",0.638934452708274
"21","Minus16h_Rep3_21","PRJNA503415","other",0.63643371810766
"22","Minus36h_Rep1_22","PRJNA503415","other",0.67299003548792
"23","Minus36h_Rep2_23","PRJNA503415","other",0.684677665262934
"24","Minus36h_Rep3_24","PRJNA503415","other",0.655919414577932
"25","Plus16h_Rep1_25","PRJNA503415","senescent",0.966280547877122
"26","Plus16h_Rep2_26","PRJNA503415","senescent",0.960324806013087
"27","Plus16h_Rep3_27","PRJNA503415","senescent",0.950196746898103
"28","Plus36h_Rep1_28","PRJNA503415","senescent",1
"29","Plus36h_Rep2_29","PRJNA503415","senescent",0.99371705345625
"30","Plus36h_Rep3_30","PRJNA503415","senescent",0.999459049870694
"31","Growing_Vector_R1_31","PRJNA449912","other",0.385325444812663
"32","Growing_Vector_R1_32","PRJNA449912","other",0.387584797576197
"33","Growing_Vector_R2_33","PRJNA449912","other",0.43300560029191
"34","Growing_Vector_R2_34","PRJNA449912","other",0.448203270144566
"35","Growing_Vector_R3_35","PRJNA449912","other",0.4621540342859
"36","Growing_Vector_R3_36","PRJNA449912","other",0.473934278744835
"37","Growing_Vector_R4_37","PRJNA449912","other",0.841856392466164
"38","Growing_Vector_R4_38","PRJNA449912","other",0.846384214980672
"39","Growing_Vector_R5_39","PRJNA449912","other",0.367047797743025
"40","Growing_Vector_R5_40","PRJNA449912","other",0.359865041584649
"41","Growing_Vector_R6_41","PRJNA449912","other",0.329509668739439
"42","Growing_Vector_R6_42","PRJNA449912","other",0.334865296794193
"43","RIS_Vector_R1_43","PRJNA449912","senescent",0.808024283556244
"44","RIS_Vector_R1_44","PRJNA449912","senescent",0.830443679536236
"45","RIS_Vector_R2_45","PRJNA449912","senescent",0.474608665891482
"46","RIS_Vector_R2_46","PRJNA449912","senescent",0.445053773832514
"47","RIS_Vector_R3_47","PRJNA449912","senescent",0.831545741373005
"48","RIS_Vector_R3_48","PRJNA449912","senescent",0.843298554280915
"49","RIS_Vector_R4_49","PRJNA449912","senescent",0.850493231886089
"50","RIS_Vector_R4_50","PRJNA449912","senescent",0.835650896747226
"51","RIS_Vector_R5_51","PRJNA449912","senescent",0.781244703219486
"52","RIS_Vector_R5_52","PRJNA449912","senescent",0.76882438393042
"53","RIS_Vector_R6_53","PRJNA449912","senescent",0.765688830487333
"54","RIS_Vector_R6_54","PRJNA449912","senescent",0.771035341569825
"55","Control_rep_1","PRJNA293984","other",0.152186928066796
"56","Control_rep_2","PRJNA293984","other",0.171076556686006
"57","Control_rep_3","PRJNA293984","other",0.217589939736045
"58","Control_rep_4","PRJNA293984","other",0.197628045292846
"59","Control_rep_5","PRJNA293984","other",0.190983578530148
"60","Control_rep_6","PRJNA293984","other",0.20555834589822
"61","Control_rep_7","PRJNA293984","other",0.132758570217529
"62","Control_rep_8","PRJNA293984","other",0.179791810159626
"63","RIS_rep_1","PRJNA293984","senescent",0.627337331233211
"64","RIS_rep_2","PRJNA293984","senescent",0.624755824980024
"65","RIS_rep_3","PRJNA293984","senescent",0.660266899276878
"66","RIS_rep_4","PRJNA293984","senescent",0.675511244128514
"67","RIS_rep_5","PRJNA293984","senescent",0.65230550210325
"68","RIS_rep_6","PRJNA293984","senescent",0.607880028339432
"69","RIS_rep_7","PRJNA293984","senescent",0.685085712202625
"70","RIS_rep_8","PRJNA293984","senescent",0.465216704738509
"71","Control_rep_1_71","PRJNA293982","other",0.43336057323682
"72","Control_rep_1_72","PRJNA293982","other",0.429742430066103
"73","Control_rep_2_73","PRJNA293982","other",0.463284974787543
"74","Control_rep_2_74","PRJNA293982","other",0.449869280609124
"75","Control_rep_3_75","PRJNA293982","other",0.480991724384401
"76","Control_rep_3_76","PRJNA293982","other",0.467233510073131
"77","Control_rep_4_77","PRJNA293982","other",0.497049190620118
"78","Control_rep_4_78","PRJNA293982","other",0.496547456188604
"79","Control_rep_5_79","PRJNA293982","other",0.518390450022112
"80","Control_rep_5_80","PRJNA293982","other",0.505006471615048
"81","Control_rep_6_81","PRJNA293982","other",0.494856156482124
"82","Control_rep_6_82","PRJNA293982","other",0.500898415806625
"83","RIS_rep_1_83","PRJNA293982","senescent",0.768866037034929
"84","RIS_rep_1_84","PRJNA293982","senescent",0.776761433140181
"85","RIS_rep_2_85","PRJNA293982","senescent",0.788838655578137
"86","RIS_rep_2_86","PRJNA293982","senescent",0.797635090346253
"87","RIS_rep_3_87","PRJNA293982","senescent",0.824977197060878
"88","RIS_rep_3_88","PRJNA293982","senescent",0.823880035587706
"89","RIS_rep_4_89","PRJNA293982","senescent",0.797862521157005
"90","RIS_rep_4_90","PRJNA293982","senescent",0.790746738896933
"91","RIS_rep_5_91","PRJNA293982","senescent",0.791610970306173
"92","RIS_rep_5_92","PRJNA293982","senescent",0.792786581400624
"93","RIS_rep_6_93","PRJNA293982","senescent",0.768730177628169
"94","RIS_rep_6_94","PRJNA293982","senescent",0.781780531368901
